Crop_Category,Crop_Variety,Seed_Type,Temperature_Avg_C,Temperature_Min_C,Temperature_Max_C,Rainfall_mm,Humidity_Percent,Sunshine_Hours,Growing_Season_Days,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Organic_Matter_Percent,Soil_Type,Soil_Moisture_Percent,Irrigation_Type,Season,Previous_Crop,Farm_Size_ha,Fertilizer_Nitrogen_kg_per_ha,Fertilizer_Phosphorus_kg_per_ha,Fertilizer_Potassium_kg_per_ha,Pesticide_Usage,Yield_tons_per_ha
Wheat,Wheat (Common),Hybrid,18.01,12.63,25.56,530.18,50.26,8.98,111,7.16,97.82,45.63,39.58,3.32,Alluvial,56.91,Flood,Rabi,Rice,17.95,108.32,50.02,38.21,0,5.653
Millet,Millet (Pearl/Bajra),Hybrid,29.57,24.29,41.28,437.5,42.6,9.39,71,7.38,41.82,27.06,27.76,1.74,Red,46.73,Rainfed,Kharif,Pulses,19.22,47.11,29.52,27.61,1,1.225
Rice,Rice (Basmati),Traditional,25.18,19.21,34.9,1275.86,75.35,7.34,147,6.49,65.56,31.84,34.98,2.83,Alluvial,78.28,Flood,Kharif,Sugarcane,7.11,50.89,20.76,26.2,1,4.274
Wheat,Wheat (Sharbati),HYV,19.05,13.06,26.77,547.65,60.63,8.63,116,7.14,96.15,48.84,31.68,2.74,Desert,57.86,Sprinkler,Rabi,Pulses,5.24,92.84,47.53,38.58,1,4.089
Soybean,Soybean (Food Grade),Traditional,29.72,24.3,40.02,897.28,63.42,6.53,108,6.33,20.64,47.93,30.77,2.81,Red,72.28,Rainfed,Kharif,Sugarcane,8.67,16.5,38.22,21.47,1,2.554
Rice,Rice (Sona Masuri),HYV,28.59,21.99,39.45,1207.15,79.09,8.26,138,6.95,86.93,38.89,42.28,3.91,Loamy,81.26,Sprinkler,Kharif,Sugarcane,16.35,72.24,37.45,33.33,1,6.963
Rice,Rice (Sona Masuri),Hybrid,28.26,20.95,39.07,1206.31,83.93,6.79,126,6.42,82.43,35.47,41.08,2.94,Black,78.69,Flood,Kharif,Maize,18.02,82.8,41.34,42.36,1,6.278
Rice,Rice (Basmati),HYV,26.07,20.95,34.89,1049.3,71.75,6.76,133,6.81,61.59,35.66,39.08,3.19,Clayey,67.41,Sprinkler,Kharif,Rice,10.71,70.05,32.01,33.15,1,5.692
Wheat,Wheat (Common),HYV,19.57,12.12,27.78,480.31,67.9,9.17,118,7.29,80.26,49.39,38.63,3.38,Alluvial,69.48,Sprinkler,Rabi,Rice,1.04,89.71,48.4,37.68,1,5.744
Rice,Rice (Basmati),Hybrid,29.9,23.42,36.95,1070.02,74.83,7.74,150,7.42,67.3,39.13,37.81,4.27,Loamy,75.17,Sprinkler,Kharif,Wheat,14.78,70.74,33.92,38.31,1,6.31
Soybean,Soybean (Food Grade),Traditional,25.86,19.04,33.56,775.28,63.09,7.51,102,7.19,23.74,42.75,39.21,2.52,Alluvial,54.51,Rainfed,Kharif,Sugarcane,0.85,16.05,39.5,28.92,1,2.038
Maize,Maize (Sweet Corn),HYV,23.16,17.26,33.47,623.83,64.48,7.86,98,6.62,110.92,64.14,53.62,2.82,Black,61.53,Sprinkler,Kharif,Rice,13.4,100.02,62.72,41.41,1,5.456
Rice,Rice (Sona Masuri),Traditional,26.29,19.07,36.93,1378.84,73.79,8.23,134,6.73,70.28,43.98,39.13,2.58,Loamy,72.71,Sprinkler,Kharif,Soybean,12.9,68.69,29.41,34.54,0,5.654
Rice,Rice (Basmati),HYV,29.08,22.12,38.62,1171.51,72.76,6.32,148,6.34,62.43,33.63,32.55,3.52,Loamy,84.16,Flood,Kharif,Wheat,8.33,71.0,30.97,31.32,1,5.724
Maize,Maize (Popcorn),Traditional,24.61,18.03,32.76,535.5,57.14,8.47,102,6.6,95.09,59.79,44.59,2.64,Loamy,62.11,Rainfed,Rabi,Rice,11.64,65.55,43.07,33.55,1,3.647
